Year,Name,"Chief developer, company",Predecessor(s)
1804,Jacquard machine,Joseph Marie Jacquard,none (unique language)
1879,Begriffsschrift,Gottlob Frege,none (unique language)
1944,ENIAC coding system,"John von Neumann, John Mauchly, J. Presper Eckert, Herman Goldstine after Alan Turing. The first programmers of ENIAC were Kay McNulty, Betty Jennings, Betty Snyder, Marlyn Meltzer, Fran Bilas, and Ruth Lichterman.",none (unique language)
1948,Plankalkül,Konrad Zuse,none (unique language)
1948,ARC/Birkbeck Assembler,Kathleen Booth,ENIAC Short Code
1949,EDSAC Initial Orders,David Wheeler,ENIAC coding system
1949,Short Code,John Mauchly and William F. Schmitt,ENIAC Short Code
1950,Short Code,"William F. Schmidt, Albert B. Tonik, J. R. Logan",Brief Code
1951,Superplan,Heinz Rutishauser,Plankalkül
1951,ALGAE,Edward A. Voorhees and Karl Balke,none (unique language)
1951,Intermediate Programming Language,Arthur Burks,Short Code
1951,Boehm unnamed coding system,Corrado Böhm,CPC Coding scheme
1951,Klammerausdrücke,Konrad Zuse,Plankalkül
1951,Stanislaus (Notation),Fritz Bauer,none (unique language)
1951,Sort Merge Generator,Betty Holberton,none (unique language)
1952,A-0,Grace Hopper,Short Code
1952,Glennie Autocode,Alick Glennie after Alan Turing,CPC Coding scheme
1952,Operator programming,Alexey Andreevich Lyapunov with the participation Kateryna Yushchenko,MESM
1952,Editing Generator,Milly Koss,SORT/MERGE
1952,COMPOOL,RAND/SDC,none (unique language)
1953,Speedcoding,John W. Backus,none (unique language)
1953,READ/PRINT,"Don Harroff, James Fishman, George Ryckman",none (unique language)
1954,Laning and Zierler system,"Laning, Zierler, Adams at MIT Project Whirlwind",none (unique language)
1954,Mark I Autocode,Tony Brooker,Glennie Autocode
1954,ARITH-MATIC,Team led by Grace Hopper at UNIVAC,A-0
1954,MATH-MATIC,Team led by Charles Katz,A-0
1954,MATRIX MATH,H G Kahrimanian,none (unique language)
1954,IPL I (concept),"Allen Newell, Cliff Shaw, Herbert A. Simon",none (unique language)
1954,FORTRAN (concept),Team led by John W. Backus at IBM,Speedcoding
1955,Address programming language (with Pointers),Kateryna Yushchenko,Operator programming - Alexey Andreevich Lyapunov & Kateryna Yushchenko & MESM
1955,FLOW-MATIC,Team led by Grace Hopper at UNIVAC,A-0
1955,BACAIC,M. Grems and R. Porter,
1955,PACT I,SHARE,"FORTRAN, A-2"
1955,Freiburger Code,University of Freiburg,—
1955,PRINT,IBM,
1955,Sequentielle Formelübersetzung,Fritz Bauer and Karl Samelson,Boehm
1956,IT,Team led by Alan Perlis,Laning and Zierler
1957,COMTRAN,Bob Bemer,FLOW-MATIC
1957,GEORGE,Charles Leonard Hamblin,none (unique language)
1957,FORTRAN I (implementation),John W. Backus at IBM,FORTRAN
1957,COMIT (concept),Victor Yngve,none (unique language)
1957,LISP (concept),John McCarthy,IPL
1957,UNICODE,Remington Rand UNIVAC,MATH-MATIC
1958,IPL II (implementation),"Allen Newell, Cliff Shaw, Herbert A. Simon",IPL I
1958,FORTRAN II,Team led by John W. Backus at IBM,FORTRAN I
1958,ALGOL 58 (IAL),ACM/GAMM,"FORTRAN, IT, Sequentielle Formelübersetzung"
1958,IPL V,"Allen Newell, Cliff Shaw, Herbert A. Simon",IPL II
1959,APT,Douglas T. Ross,
